"ew","mv_Markowitz","mv_MichaudParam","mv_MichaudNonP","mv_MarkowitzPCA","mv_FactorParamPCA","mv_FactorNonPPCA","mv_MarkowitzObs","mv_FactorParamObs","mv_FactorNonPObs","ew","ef_Markowitz","ef_MichaudParam","ef_MichaudNonP","ef_MarkowitzPCA","ef_FactorParamPCA","ef_FactorNonPPCA","ef_MarkowitzObs","ef_FactorParamObs","ef_FactorNonPObc"
"1",0.0227272727272727,0.101960257798,0.07418787934,0.082543704367,0.104062027809,0.077586076684,0.084330461525,0.104470735188,0.077468664248,0.084919973369,0.0227272727272727,0.101347188098,0.073468957228,0.083496383879,0.103371091849,0.076966105596,0.083118518966,0.103769727404,0.075728278401,0.083671147259
"2",0.0238095238095238,0.105060505288,0.078683662488,0.08669830414,0.104665317057,0.077064193028,0.084913756195,0.105224826091,0.0780071151,0.085783262204,0.0238095238095238,0.104201082567,0.07729739039,0.084515587064,0.103651683133,0.076605452197,0.08423615589,0.10420812987,0.078409541838,0.086160946236
"3",0.024390243902439,0.10712061011,0.079020214712,0.086225648332,0.112245321214,0.082933247913,0.091082774576,0.11285874633,0.085086236199,0.093876652957,0.024390243902439,0.106379951783,0.077251526124,0.087834100029,0.111169501111,0.082496572256,0.092118430519,0.11176229413,0.08308226758,0.091649305597
"4",0.024390243902439,0.110669806224,0.08207389966,0.089855606775,0.107585163582,0.079182794155,0.088317053167,0.108464128938,0.079472802036,0.088066399447,0.024390243902439,0.109730346782,0.079778959029,0.089974838024,0.107002653726,0.078968024998,0.088491581787,0.107913600455,0.079596623812,0.087352172806
"5",0.024390243902439,0.10425273148,0.074575325607,0.084352676645,0.106305979757,0.078918535855,0.08609616127,0.107153787498,0.07873262533,0.084179810945,0.024390243902439,0.103987769354,0.074479170635,0.083980997035,0.106250147036,0.077014709592,0.083377120771,0.107090495057,0.078484168528,0.085762944143
"6",0.025,0.104962794562,0.076627115501,0.084497816738,0.101245145502,0.074218000271,0.081796081093,0.102092127814,0.074747811711,0.083751959263,0.025,0.104668631334,0.075610878002,0.084075457317,0.100828975419,0.075016765613,0.082968218477,0.101674788523,0.074331573297,0.081723824338
"7",0.025,0.09927754416,0.073039014533,0.081965841395,0.099407382212,0.071636693339,0.080354611199,0.100275331125,0.073044454674,0.082273305627,0.025,0.098639315253,0.072323816739,0.080592512338,0.098711763074,0.072430462439,0.079746176019,0.099571777927,0.073015595545,0.079166536211
"8",0.0238095238095238,0.091463690337,0.067167385698,0.074807773203,0.095233960531,0.069085662991,0.078885120374,0.096217741889,0.069987487686,0.078281622777,0.0238095238095238,0.09136700895,0.066106678375,0.076428309234,0.094841446345,0.067901598341,0.077713029002,0.09585980293,0.067797398501,0.077041605797
"9",0.0238095238095238,0.093616766634,0.067633173892,0.076461283366,0.088614500883,0.063115377281,0.0713036783,0.089553764583,0.063739472969,0.071793818698,0.0238095238095238,0.09327738066,0.066385482684,0.076366581846,0.087593277535,0.061085087415,0.071425034751,0.088490182255,0.062255907142,0.071084486019
"10",0.024390243902439,0.083695715069,0.060000750104,0.069834299449,0.086879226288,0.063025160392,0.071328515714,0.088191938411,0.063116603219,0.074337574344,0.024390243902439,0.083116135446,0.058450070141,0.072339646552,0.085854030402,0.061911649451,0.07100981365,0.087252340974,0.062427166367,0.072449620251
"11",0.0217391304347826,0.089381258175,0.062281672037,0.07588672827,0.096910429296,0.066326649632,0.078529213346,0.097983233879,0.068433382581,0.079621486425,0.0217391304347826,0.088381590776,0.061726657068,0.074347045799,0.094755823676,0.067062297387,0.078128689155,0.095880042,0.066520046861,0.078731573066
"12",0.0208333333333333,0.102904328301,0.070184874597,0.083463852244,0.102005265716,0.069393891414,0.083877660844,0.10329480076,0.068534559487,0.084795821258,0.0208333333333333,0.101009901364,0.068254124003,0.083655689851,0.100279461706,0.067505763673,0.081950368594,0.101628122019,0.066921343932,0.082500474059
"13",0.0208333333333333,0.096510948281,0.065482731511,0.081459085588,0.100859548205,0.066888610348,0.082316440138,0.102208005529,0.067389533929,0.082387419859,0.0208333333333333,0.095103563196,0.064504587392,0.080456861849,0.099082873021,0.066168206689,0.082012556828,0.100383858867,0.065168328293,0.082467603034
"14",0.02,0.093182542345,0.064843861172,0.076941584823,0.113311840278,0.079295224427,0.09064886723,0.113359936054,0.078425389101,0.092617589594,0.02,0.092016360301,0.063728662826,0.077043307526,0.112810043852,0.077930136047,0.090542925181,0.112861612976,0.079279202431,0.08980339284
"15",0.02,0.112633225265,0.0780850728,0.088946644758,0.114115516264,0.080155998163,0.091470991168,0.114072575049,0.078995729597,0.091498981669,0.02,0.112374105117,0.077033284802,0.087504968682,0.113955391421,0.077187866995,0.0908996169,0.113917562068,0.080020590946,0.091635493437
"16",0.02,0.11361771667,0.077341172043,0.090446057696,0.112271237011,0.076626204542,0.087578726193,0.112111468352,0.076441308169,0.089709406072,0.02,0.113697731883,0.076968027104,0.090586101886,0.113016503816,0.076614374716,0.086459973503,0.11282948649,0.075804832269,0.088693138578
"17",0.02,0.105799572688,0.071787453794,0.084991290466,0.106201061337,0.072618308204,0.083912276794,0.106066532471,0.071641986191,0.083552466475,0.02,0.106650225495,0.072774212141,0.083016301238,0.106884883271,0.071592174471,0.08320269527,0.106715951586,0.072498759698,0.08456060007
"18",0.02,0.111113403849,0.076425285995,0.088516528193,0.113515480597,0.076638623389,0.090004038154,0.113421070232,0.077488713457,0.092510234511,0.02,0.111302517812,0.07607852657,0.085751104502,0.113737999526,0.075870829928,0.090409176289,0.113652827859,0.076228072406,0.090999931246
"19",0.02,0.112717933418,0.075807044434,0.089295488504,0.117120915976,0.080703457945,0.093446119437,0.117165650336,0.079773123485,0.093078228969,0.02,0.112680407094,0.075614160845,0.089696649665,0.116398054842,0.080067912415,0.092255647414,0.116314817851,0.080050413682,0.091978600541
"20",0.0204081632653061,0.114947480356,0.077757479331,0.091307917321,0.115006988658,0.080664390901,0.092757636745,0.115009724836,0.080797070215,0.093108265616,0.0204081632653061,0.114650571729,0.079545316084,0.093172606555,0.114629507117,0.081539857414,0.092445909127,0.114620465034,0.080029103474,0.092720475696
"21",0.0196078431372549,0.109565671826,0.073597092827,0.085693587133,0.111355584461,0.074717453375,0.087210247542,0.111397548525,0.074660251143,0.086599907783,0.0196078431372549,0.108539816876,0.072531154047,0.084241473488,0.111112842098,0.074239785312,0.086899535967,0.111009447776,0.075663311345,0.08660585166
"22",0.0208333333333333,0.10983848571,0.076878998502,0.088638222001,0.110904996068,0.077339656927,0.090640234723,0.110910875232,0.078358656429,0.091002590483,0.0208333333333333,0.109798933013,0.07681358365,0.089134626975,0.111006117791,0.079362649339,0.09037930907,0.111010515677,0.077743374541,0.09033768888
"23",0.0212765957446809,0.109131196731,0.07640327219,0.088732224062,0.110411286601,0.079082484281,0.091111841083,0.110401708516,0.077906900682,0.090057512443,0.0212765957446809,0.109260605775,0.075526280174,0.088512976429,0.110708370812,0.077617273178,0.090793086818,0.11069626255,0.078675509582,0.090304204402
"24",0.0212765957446809,0.100893083558,0.074515505822,0.083788390169,0.093030828253,0.068538169543,0.07675908997,0.093085306119,0.068321421571,0.078334436894,0.0212765957446809,0.100853146183,0.074161801937,0.084462163813,0.093353180395,0.068040054688,0.078156821215,0.093395056548,0.068146244466,0.078661326506
