"ew","mv_Markowitz","mv_MichaudParam","mv_MichaudNonP","mv_MarkowitzPCA","mv_FactorParamPCA","mv_FactorNonPPCA","mv_MarkowitzObs","mv_FactorParamObs","mv_FactorNonPObs","ew","ef_Markowitz","ef_MichaudParam","ef_MichaudNonP","ef_MarkowitzPCA","ef_FactorParamPCA","ef_FactorNonPPCA","ef_MarkowitzObs","ef_FactorParamObs","ef_FactorNonPObc"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0760601175090694,0.216340947744399,0.212220124841142,0.20177012778194,0.23656652749874,0.216485577175001,0.205995736304777,0.236421635994711,0.227635609289097,0.234254761512931,0.0760601175090694,0.216340947744399,0.212220124841142,0.20177012778194,0.23656652749874,0.216485577175001,0.205995736304777,0.236421635994711,0.227635609289097,0.234254761512931
"3",0.0558596295337116,0.166350924751378,0.138715248110902,0.13250541048433,0.0949608070900394,0.109841886732336,0.117585917664565,0.09495456351724,0.114121501130865,0.124151522460146,0.0558596295337116,0.166350924751378,0.138715248110902,0.13250541048433,0.0949608070900394,0.109841886732336,0.117585917664565,0.09495456351724,0.114121501130865,0.124151522460146
"4",0.0667204615250064,0.10662496735772,0.135834464832755,0.150767477816959,0.108842787404704,0.130329161279521,0.115715858451856,0.10880222928834,0.120331162828743,0.123863893534629,0.0667204615250064,0.10662496735772,0.135834464832755,0.150767477816959,0.108842787404704,0.130329161279521,0.115715858451856,0.10880222928834,0.120331162828743,0.123863893534629
"5",0.0890569456049907,0.126114110646826,0.137161370364292,0.13646671157522,0.133346201629303,0.163497887238107,0.163011926103613,0.13330076287316,0.123831348132924,0.131873442958079,0.0890569456049907,0.126114110646826,0.137161370364292,0.13646671157522,0.133346201629303,0.163497887238107,0.163011926103613,0.13330076287316,0.123831348132924,0.131873442958079
"6",0.0666463126592724,0.103861638730426,0.102252731139814,0.0872870812074777,0.0780409388623868,0.0949286952016292,0.120128996207396,0.0780727026723212,0.0719274373294796,0.101430472747055,0.0666463126592724,0.103861638730426,0.102252731139814,0.0872870812074777,0.0780409388623868,0.0949286952016292,0.120128996207396,0.0780727026723212,0.0719274373294796,0.101430472747055
"7",0.131342597037407,0.408622643284035,0.357489095091488,0.341606770738742,0.410963539650344,0.37256110682757,0.348104537050661,0.411287480593515,0.34679545261516,0.338766466807059,0.131342597037407,0.408622643284035,0.357489095091488,0.341606770738742,0.410963539650344,0.37256110682757,0.348104537050661,0.411287480593515,0.34679545261516,0.338766466807059
"8",0.0486750021269049,0.0912038293510958,0.101063216278218,0.111027611290857,0.489763681390871,0.410556655121661,0.378395351800802,0.489836579542348,0.406013801832049,0.395514341123676,0.0486750021269049,0.0912038293510958,0.101063216278218,0.111027611290857,0.489763681390871,0.410556655121661,0.378395351800802,0.489836579542348,0.406013801832049,0.395514341123676
"9",0.194641609380483,0.898222651134728,0.779261730482505,0.761088877110288,0.648973032158228,0.588033346633567,0.626397881754602,0.648993801240711,0.600237379755675,0.610039359980661,0.194641609380483,0.898222651134728,0.779261730482505,0.761088877110288,0.648973032158228,0.588033346633567,0.626397881754602,0.648993801240711,0.600237379755675,0.610039359980661
"10",0.253112837552764,0.227850683852781,0.155710401990099,0.151333532050136,0.247287415655235,0.159725717992812,0.159000323038655,0.24724853449353,0.158153740138962,0.162741129608967,0.253112837552764,0.227850683852781,0.155710401990099,0.151333532050136,0.247287415655235,0.159725717992812,0.159000323038655,0.24724853449353,0.158153740138962,0.162741129608967
"11",0.180881075470461,0.265986125805758,0.24014467882852,0.212939591508915,0.250035115374482,0.251087093990311,0.237976835560415,0.249966214775438,0.261616213976248,0.259121789267781,0.180881075470461,0.265986125805758,0.24014467882852,0.212939591508915,0.250035115374482,0.251087093990311,0.237976835560415,0.249966214775438,0.261616213976248,0.259121789267781
"12",0.0857333016553243,0.158699515970599,0.117409890221877,0.0800947249678966,0.172907947381318,0.164404498414966,0.135051188025045,0.172871284042941,0.147642910921826,0.12608390564631,0.0857333016553243,0.158699515970599,0.117409890221877,0.0800947249678966,0.172907947381318,0.164404498414966,0.135051188025045,0.172871284042941,0.147642910921826,0.12608390564631
"13",0.12853881709069,0.562872503601708,0.473695918262507,0.461717187811386,0.671107323382564,0.579848827344115,0.5179845151746,0.671099571173147,0.583733216933364,0.543331404285512,0.12853881709069,0.562872503601708,0.473695918262507,0.461717187811386,0.671107323382564,0.579848827344115,0.5179845151746,0.671099571173147,0.583733216933364,0.543331404285512
