"ew","mv_Markowitz","mv_MichaudParam","mv_MichaudNonP","mv_MarkowitzPCA","mv_FactorParamPCA","mv_FactorNonPPCA","mv_MarkowitzObs","mv_FactorParamObs","mv_FactorNonPObs","ew","ef_Markowitz","ef_MichaudParam","ef_MichaudNonP","ef_MarkowitzPCA","ef_FactorParamPCA","ef_FactorNonPPCA","ef_MarkowitzObs","ef_FactorParamObs","ef_FactorNonPObc"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0760601175090694,0.22041883732178,0.214318295940376,0.202543538417306,0.239098724952728,0.218431398850824,0.207888625430137,0.238953915901938,0.229879403884882,0.236203987362778,0.0760601175090694,0.210051283659845,0.214682438123445,0.201066171766148,0.232897555145265,0.228799369721686,0.217366827868796,0.232755559398109,0.208942991848421,0.206168323289063
"3",0.0558596295337116,0.168798720527072,0.140712772216251,0.132678763378699,0.0961439102978916,0.111077759237549,0.120078242290427,0.0961388093991638,0.114614263397694,0.126751853425062,0.0558596295337116,0.162832255657128,0.128091928223737,0.133568243445226,0.0932330466580032,0.104849188889165,0.107987315735501,0.0932267904844555,0.0986281560890658,0.103233462682816
"4",0.0667204615250064,0.108391807796338,0.138522267925826,0.151527706386819,0.108156180670501,0.128722182788695,0.113777979399484,0.10811750908082,0.118390709631041,0.121084896383966,0.0667204615250064,0.105785081664796,0.139214002382939,0.144361440319746,0.111888890587604,0.119439863819929,0.144449125942967,0.111850329944042,0.11665170902852,0.14634340865717
"5",0.0890569456049907,0.124052026137387,0.137214921176143,0.136924024839064,0.134168702417055,0.164314248051917,0.16414080439149,0.134125209016537,0.124560694665694,0.131919803855054,0.0890569456049907,0.127617976867753,0.131344000511534,0.167173431448018,0.133822370229487,0.135078108387449,0.16473582232249,0.133775409459663,0.139670927100466,0.133118040673393
"6",0.0666463126592724,0.103215478760758,0.101881930783566,0.0869363080093901,0.0702980127263997,0.0920510075849905,0.11876798112752,0.07032612801217,0.0686693178422968,0.0990710595188902,0.0666463126592724,0.105539766716142,0.0790255057871149,0.139805306128775,0.0956464064151973,0.0826039901890191,0.118281119116623,0.0956274131471163,0.104376597022972,0.104392918179744
"7",0.131342597037407,0.396748480003728,0.348426587076981,0.337125537829098,0.410960645625652,0.368302659374304,0.344278948667918,0.41127967373213,0.341841374717432,0.334564379104456,0.131342597037407,0.42746851341844,0.368139032642037,0.384480570454006,0.410099434697646,0.34666549804003,0.357897176253801,0.410430359006678,0.36483927267935,0.356758845439915
"8",0.0486750021269049,0.0897648287088635,0.100463905309806,0.110554938488762,0.481659102894056,0.405331661335331,0.375466546117518,0.481729189716136,0.400984061669926,0.392184176705792,0.0486750021269049,0.0933619833275612,0.102182309282305,0.0996359743665695,0.503282805030295,0.426926155753946,0.406231591791517,0.503363024697899,0.406338612897529,0.384080570230979
"9",0.194641609380483,0.894696554892955,0.778674998934617,0.76177716661801,0.646299876250541,0.586321992027155,0.624198138729582,0.646328449585292,0.598437528723108,0.606238107910861,0.194641609380483,0.906155420142634,0.779699246623776,0.775352673124755,0.652805022814102,0.585188000963263,0.600892437791774,0.652828985870025,0.601951066593302,0.600824423167393
"10",0.253112837552764,0.220567803517078,0.151695414321846,0.148215152464747,0.250394455571812,0.161915119447806,0.160917325089907,0.250346169236544,0.160629371660501,0.162404263872187,0.253112837552764,0.240129614409571,0.170327359222208,0.137294976653113,0.242917968297261,0.159535605555543,0.169950748650212,0.242877467126784,0.162626007640524,0.169117064394051
