"ew","mv_Markowitz","mv_MichaudParam","mv_MichaudNonP","mv_MarkowitzPCA","mv_FactorParamPCA","mv_FactorNonPPCA","mv_MarkowitzObs","mv_FactorParamObs","mv_FactorNonPObs","ew","ef_Markowitz","ef_MichaudParam","ef_MichaudNonP","ef_MarkowitzPCA","ef_FactorParamPCA","ef_FactorNonPPCA","ef_MarkowitzObs","ef_FactorParamObs","ef_FactorNonPObc"
"1",0.0227272727272727,0.133676621018,0.108022533566,0.099547123452,0.134437483328,0.110372857059,0.100564867372,0.134447565677,0.109041212182,0.101393197567,0.0227272727272727,0.133676621018,0.108022533566,0.099547123452,0.134437483328,0.110372857059,0.100564867372,0.134447565677,0.109041212182,0.101393197567
"2",0.0238095238095238,0.133270043835,0.110859197494,0.103159975899,0.131280119834,0.106131102243,0.099018091423,0.131305515846,0.1071612702,0.101004304468,0.0238095238095238,0.133270043835,0.110859197494,0.103159975899,0.131280119834,0.106131102243,0.099018091423,0.131305515846,0.1071612702,0.101004304468
"3",0.024390243902439,0.140788917981,0.11268928157,0.1036094353,0.138897748792,0.115474202537,0.107428638732,0.138919386612,0.117204276704,0.110869342001,0.024390243902439,0.140788917981,0.11268928157,0.1036094353,0.138897748792,0.115474202537,0.107428638732,0.138919386612,0.117204276704,0.110869342001
"4",0.024390243902439,0.139509234775,0.11670979304,0.108477165268,0.13767429804,0.112524546986,0.105395617551,0.137700072041,0.110410496002,0.104533347153,0.024390243902439,0.139509234775,0.11670979304,0.108477165268,0.13767429804,0.112524546986,0.105395617551,0.137700072041,0.110410496002,0.104533347153
"5",0.024390243902439,0.135767431653,0.106127417138,0.099882295635,0.135579830404,0.109124386472,0.10061493598,0.135596734592,0.108233137692,0.098820718732,0.024390243902439,0.135767431653,0.106127417138,0.099882295635,0.135579830404,0.109124386472,0.10061493598,0.135596734592,0.108233137692,0.098820718732
"6",0.025,0.13588988401,0.108506008422,0.100882249238,0.130842269385,0.104069060295,0.096197227644,0.130860141405,0.103785442197,0.098025833119,0.025,0.13588988401,0.108506008422,0.100882249238,0.130842269385,0.104069060295,0.096197227644,0.130860141405,0.103785442197,0.098025833119
"7",0.025,0.130360661763,0.105113787668,0.098855073304,0.128871915551,0.101166654961,0.096082998031,0.128891717569,0.102456655588,0.098239627352,0.025,0.130360661763,0.105113787668,0.098855073304,0.128871915551,0.101166654961,0.096082998031,0.128891717569,0.102456655588,0.098239627352
"8",0.0238095238095238,0.122285799214,0.099491092723,0.091411108671,0.124037748437,0.099417954079,0.094769264924,0.124049378586,0.099593197615,0.093672857778,0.0238095238095238,0.122285799214,0.099491092723,0.091411108671,0.124037748437,0.099417954079,0.094769264924,0.124049378586,0.099593197615,0.093672857778
"9",0.0238095238095238,0.1231842665,0.099634597374,0.092723621308,0.105945800149,0.087542695275,0.082809517996,0.105946701996,0.086612224977,0.082592335411,0.0238095238095238,0.1231842665,0.099634597374,0.092723621308,0.105945800149,0.087542695275,0.082809517996,0.105946701996,0.086612224977,0.082592335411
"10",0.024390243902439,0.121201524531,0.091211357929,0.085435773359,0.122737236939,0.092729099303,0.086189981063,0.122750843854,0.093077148981,0.089902480805,0.024390243902439,0.121201524531,0.091211357929,0.085435773359,0.122737236939,0.092729099303,0.086189981063,0.122750843854,0.093077148981,0.089902480805
"11",0.0217391304347826,0.13286480444,0.098453627035,0.095645285211,0.135880231979,0.103591401602,0.097348805932,0.135890395275,0.103822377058,0.097948417829,0.0217391304347826,0.13286480444,0.098453627035,0.095645285211,0.135880231979,0.103591401602,0.097348805932,0.135890395275,0.103822377058,0.097948417829
"12",0.0208333333333333,0.144097540097,0.111023056939,0.104811855247,0.138188925141,0.108565499495,0.104529705982,0.138205608098,0.10576488024,0.105417023151,0.0208333333333333,0.144097540097,0.111023056939,0.104811855247,0.138188925141,0.108565499495,0.104529705982,0.138205608098,0.10576488024,0.105417023151
"13",0.0208333333333333,0.136385444422,0.106013168915,0.103718772437,0.144656110931,0.113504263713,0.106034731617,0.144679514174,0.1110092226,0.106542512212,0.0208333333333333,0.136385444422,0.106013168915,0.103718772437,0.144656110931,0.113504263713,0.106034731617,0.144679514174,0.1110092226,0.106542512212
"14",0.02,0.122979966051,0.100674023755,0.095135126294,0.13425456421,0.106564671694,0.102196140086,0.134270528495,0.105498652908,0.104587216964,0.02,0.122979966051,0.100674023755,0.095135126294,0.13425456421,0.106564671694,0.102196140086,0.134270528495,0.105498652908,0.104587216964
"15",0.02,0.135234827149,0.106379738028,0.101664154489,0.135130005444,0.106565397483,0.103641365677,0.135146097298,0.10574444515,0.103322760493,0.02,0.135234827149,0.106379738028,0.101664154489,0.135130005444,0.106565397483,0.103641365677,0.135146097298,0.10574444515,0.103322760493
