"unc_Markowitz","unc_MichaudParam","unc_MichaudNonP","unc_FactorParamPCA","unc_FactorNonPPCA","unc_FactorParamIbov","unc_FactorNonPIbov","ssc_Markowitz","ssc_MichaudParam","ssc_MichaudNonP","ssc_FactorParamPCA","ssc_FactorNonPPCA","ssc_FactorParamIbov","ssc_FactorNonPIbov","luc_Markowitz","luc_MichaudParam","luc_MichaudNonP","luc_FactorParamPCA","luc_FactorNonPPCA","luc_FactorParamIbov","luc_FactorNonPIbov"
"1",2.84607387419975,2.86434297330975,2.75109513330677,2.85756120543902,2.88236802357327,2.98711238425209,2.7676187541777,1.73897086202983,1.44952142309743,1.47085744058535,1.48706173865213,1.40235442385788,1.44444937379757,1.42199885501281,1.21024170611089,0.821186060147325,0.85936519890302,0.85562124933374,0.802649305741503,0.830293454446416,0.781231735514361
"2",3.29499673942809,3.27123403750821,3.28446861290049,3.26741965951977,3.29957706010556,3.18470842490829,3.27708851585694,2.77301172476838,2.72984009391493,2.75419234802196,2.76341593975342,2.7539862450082,2.77883123001116,2.88552870434794,1.32158600003241,1.67336726532632,1.68973511857243,1.69807845881683,1.67562992629829,1.73197686511744,1.70822525055868
"3",-2.15137555134466,-2.12163474254391,-2.16342093686815,-2.16598527240731,-2.17387556824564,-2.12565785921503,-2.17078335741489,-2.07851797217476,-1.9681680725862,-1.83518302941935,-1.95430785101747,-1.95540404010227,-1.96796798113108,-1.89104427669827,-2.60831350172144,-2.42705672066113,-2.28403820944546,-2.41091207747684,-2.27426879158196,-2.332178166837,-2.34040165249286
"4",-1.04209995172632,-1.0906078226072,-0.94796120257248,-0.78948293200486,-0.79554242440073,-0.828223440383808,-0.81340139435539,0.98255617290329,0.731059669458073,0.909245644762896,0.77400174114752,0.91831082901313,0.730003909450409,0.952299497973735,-0.28710531853572,-0.309163268389308,-0.232314579097243,-0.297154835570806,-0.154267303470081,-0.302308691986289,-0.26234999212116
"5",-0.138113769160029,-0.0443029225708746,0.134928287090572,-0.103059753757795,-0.106696771474637,-0.123925614441225,0.0104694837322514,-0.216371524253199,0.381378951764034,0.468657806022918,0.313193318121438,0.37187125826698,0.279699011627676,0.379199352780189,1.36907311213042,1.62492641067308,1.72193402251591,1.59474155556204,1.76206112622645,1.59055596857156,1.71574698645408
"6",0.369318795643943,0.282164168583106,0.769539292790186,0.481855897724353,0.566220044117951,0.34326081060378,0.387057263592401,-0.521103816820011,-0.284219301565642,-0.12832668154106,-0.25682162431442,-0.234962738299176,-0.256890461603717,-0.216589221080271,-0.567270747392892,-0.344725002118437,-0.311460934653703,-0.308437246852484,-0.239302958513582,-0.313774619698503,-0.238575933435738
"7",2.94787599032031,2.9912851575456,2.94630877834175,2.90886351999645,3.01171484405211,3.05301989947664,2.99421656971559,2.65876894388821,2.91686591341746,3.01634028092454,2.90347624258064,2.99843880661413,2.90990317232847,2.986630082418,3.37482741518705,3.44100948337356,3.47695842381707,3.40271919803913,3.52364887368959,3.42088989105744,3.4765246399556
"8",-1.23508224604242,-1.27315060316047,-1.28413191378427,-1.18092873578285,-1.29941181180944,-1.27068360348244,-1.20096932539506,-0.75738266243491,-1.05749664342533,-1.03830062995083,-1.04980849831706,-0.969220027857315,-1.01394785669967,-1.02697688992795,-1.57161144382494,-1.6459295952536,-1.60199477134841,-1.64610780257429,-1.63429408280185,-1.63888953929489,-1.66240731261351
"9",2.79475400751282,2.95899782344251,2.73381247472567,2.48519445298115,2.47564144926256,2.41885472095062,2.64365902506469,2.65015988221812,2.58759892654302,2.57488516971615,2.4498459764002,2.4760507787406,2.38839499484877,2.49991943962482,1.89159006014197,1.83675154550136,1.74833396656055,1.77235214197753,1.645779428436,1.74234765947361,1.76692828521301
"10",-1.87965890862533,-1.66369650890906,-2.30704324452175,-1.98767604354944,-2.45619294981455,-1.80315888786827,-2.55099508895014,-3.23200939612592,-3.26125673590948,-3.20445343719345,-3.11988716319336,-3.2410686342602,-3.22169758292287,-3.2343813018491,-2.21558135460547,-2.19845822564428,-2.25408741242921,-2.24431673944315,-2.2076107401149,-2.22585587695514,-2.29215598695708
"11",0.786596289477387,0.830815286009657,0.60888562656832,0.902441850471991,0.776695122725072,0.827804543182571,0.869956527555872,0.446316098292197,0.419220407344377,0.37684154931441,0.421796822092957,0.362626344064289,0.443123070852752,0.45887737009565,0.94224330750169,0.795673575573653,0.827983168524945,0.817789637425235,0.80730986230782,0.855713853568668,0.836874817627432
"12",2.07902948990112,2.10268657743613,1.9102844566291,2.03581201080026,2.03863371786463,2.14201020961699,1.94422235478748,0.885651113513892,1.12074076968446,1.06926373762478,1.05178133575358,1.06302619131177,1.00332518949955,1.08494701211073,1.21595358697202,1.24942076654558,1.11449215370034,1.24390081779983,1.20664553945387,1.2444043165423,1.20837487554973
"13",-3.43065913947489,-3.60621593268701,-2.99628866157499,-3.24304691181676,-2.85414963011916,-3.38046759769713,-3.00709715918332,-1.94978047024588,-1.43708554817838,-1.2562795438331,-1.42188089252007,-1.31730505110741,-1.39646814828769,-1.23625246671095,-1.02905210732467,-0.474176224403082,-0.4766203368964,-0.520886469890822,-0.296492634518655,-0.551435200939318,-0.433504404480895
"14",2.06522071983356,2.07316139211391,2.03783815741272,2.1183556964371,2.13218246758428,2.00380792828615,2.1060217196041,2.42457079190721,2.37342358815077,2.32021956953835,2.36591011575563,2.3183483380496,2.38136230308067,2.32806538504892,2.63059868760459,2.67106684809317,2.64736001968067,2.61804611400928,2.5902265036265,2.61217417132215,2.6195668307569
"15",-2.68481299499236,-2.72921916998552,-2.76239889898229,-2.5995014135495,-2.68176807298912,-2.57668580600081,-2.63562917782293,-1.54601222839943,-1.13617474708478,-1.01832023816263,-1.12167503477976,-1.1077526745771,-1.15757200250457,-1.03062455595859,-0.766836780771015,-0.265542069944516,-0.225189627462899,-0.320720901811628,-0.272325931970823,-0.305372155775469,-0.176093208438621
"16",3.3972154989322,3.45732980973734,3.64207020006396,3.28238499133623,3.47935287170974,3.08938395615237,3.69603615695404,2.15841175713597,2.41249364719123,2.41941837707425,2.38765077470562,2.48580530024239,2.36897526082565,2.54504084386841,1.16150551381214,1.49865010826062,1.69990136062985,1.55074496193879,1.66888131448817,1.51169000030498,1.65700291406984
