"True","Estim","ParamBoot","Boot","FactorParamBoot","FactorBoot"
"1",1.83865193978555,1.96525412963625,1.96664544951125,1.94834080791883,1.958084178707,1.96606969889305
"2",3.47376435921652,3.59106314142974,3.59884417057161,3.58440312919647,3.57721103037022,3.56260752878565
"3",3.92997773792791,4.19965856483827,4.18693113058099,4.18887294490175,4.19666066670445,4.18881939560291
"4",1.50298318225541,1.54251539053096,1.53567408957098,1.54385615889732,1.54369802655484,1.54396374973571
"5",1.46346728423441,1.56613008710313,1.57056763609592,1.56338264504734,1.56499689166352,1.56199047963566
"6",2.99152640177131,3.14924822049662,3.14462908718578,3.1604996090267,3.16154304183386,3.13783652979104
"7",2.08203882083037,2.08718483414639,2.08676417380073,2.08624138508903,2.09123664062236,2.08862939985728
"8",2.61707075341739,2.66512811171627,2.66440789899144,2.67033254948854,2.66565996506856,2.66303458220464
"9",0.444169488360418,0.44902158497168,0.449163963737541,0.450290547457498,0.448941938288091,0.448387506803389
"10",1.51164997404749,1.54649868592442,1.53263898103992,1.55357623867014,1.55109322701816,1.54273751085396
"11",1.64969914787835,1.6976753037878,1.70150914815704,1.71152464782289,1.70286541470977,1.69389058322611
"12",0.461472359519002,0.51264420763497,0.507509297843395,0.515758521133268,0.511065674863063,0.514512272573929
"13",3.90943722231112,3.96153151833386,3.96343944650911,3.96260187428577,3.96992722506693,3.94957563337532
"14",6.54630991596176,6.56626860226317,6.56147604541726,6.56638944896719,6.56501739115838,6.55325678455847
"15",3.65232620087768,3.84573728237706,3.84596897270256,3.82564013119736,3.84305095401839,3.84994928027482
"16",3.22146203486525,3.26446569905317,3.24835558377909,3.26312326480703,3.25448348755444,3.26815020851087
"17",2.78610487488743,3.01641154767308,3.01799700187815,3.01113038568943,3.01490987564084,3.01234712580305
"18",1.16968026794779,1.22487213744481,1.22449920991382,1.227278513238,1.22253367645657,1.22700977265993
"19",5.94241087081178,6.33550446373957,6.34941585467101,6.34379915603982,6.31158051852592,6.37736626884517
"20",3.40641529200258,3.44813521712228,3.44719810831031,3.44788812346114,3.44667892844231,3.45448594979412
"21",4.50820738696197,4.55707393595655,4.53199954166478,4.56392951081932,4.5246523051996,4.55885227519396
