"True","Estim","ParamBoot","Boot","FactorParamBoot","FactorBoot"
"1",2.77259184344982,2.79923538429556,2.80281580033812,2.80003879565312,2.79303833618913,2.79806798216041
"2",4.4432881921118,4.57920813237312,4.64384437019226,4.64178965787061,4.63504545593011,4.62086494285081
"3",3.94173976866692,4.45393353951685,4.40438082700501,4.40544275884327,4.41270143247735,4.41602918044924
"4",2.10156123918001,2.09182324505118,2.08700422140599,2.08691181366528,2.08704466451505,2.09394287064137
"5",2.56033891423295,2.54317499635633,2.53400766405555,2.54392171289191,2.53920676523077,2.54935062511739
"6",6.42730171157478,6.42730171157478,6.42730171157478,6.42730171157478,6.42730171157478,6.42730171157478
"7",4.79845288362209,4.79845288362209,4.79845288362209,4.79845288362209,4.79845288362209,4.79845288362209
"8",2.86838482021058,2.8526957909802,2.8614706181781,2.87457987073062,2.85416975235171,2.87162685192925
"9",5.25278862822639,5.25805562456315,5.25738290086787,5.25362722928482,5.25607296831309,5.25337326888891
"10",1.62813077277859,1.5845387735355,1.58943188480394,1.5817952248531,1.58609060431554,1.58609195329357
"11",1.89320136228155,2.66150675010447,2.54037670253463,2.55349519471079,2.53008072516994,2.46751377306194
"12",0.485647454291193,0.510317122158989,0.503295797042837,0.52808352882257,0.51874316177427,0.523356261155253
"13",3.92823339142073,3.95851719884052,3.97160843043383,3.95079155564553,3.95413146411019,3.96208277592558
"14",6.81808173751762,6.8757488926076,6.83659018252752,6.83719063248307,6.83369897036024,6.84046964388032
"15",7.18556885605227,7.08034601549017,7.14234807229592,7.13936481384167,7.12039517046986,7.13409022042472
"16",3.65701648331923,3.71906699336612,3.6950153564973,3.716385304178,3.69484345115753,3.7081738276428
"17",3.16452096814022,3.39798167292973,3.48124947422489,3.49190214788374,3.47711417209486,3.45856158985996
"18",5.21300994080091,5.05823074229753,5.06792748960784,5.02755542109701,5.08985639808884,5.03165720713144
"19",7.0526815988459,7.63162822867078,7.29783167691876,7.27565822141718,7.25277478838622,7.42020195451238
"20",3.40674701866295,3.45866943315278,3.45214927306395,3.45546019824191,3.4568692369542,3.46145878642056
"21",8.63421662967239,8.66362355404254,8.76087725844472,8.89898236980875,8.76264905881476,8.82320903706651
"22",3.25264445710814,3.70483673646429,3.67869704676348,3.71398275476946,3.67340914107704,3.74085755427013
"23",4.09180405234583,4.09180405234583,4.09180405234583,4.09180405234583,4.09180405234583,4.09180405234583
"24",4.15363406318957,4.16586644641442,4.12432199673724,4.13541939362628,4.13345401086311,4.13296385918274
"25",4.22398934937042,4.36516594380664,4.35928270891295,4.35184360527372,4.34349696661087,4.32970666752106
"26",4.47461130161901,4.93673238204875,4.93077415077456,4.89671748095885,5.00535171315245,4.84380052882161
"27",2.88334281865571,2.91254294337199,2.91303268640502,2.9123519311726,2.92761480094685,2.91157624319266
"28",4.104737858281,4.2047368408045,4.21871748551218,4.2298639154558,4.20884687516121,4.20918808547428
"29",1.93864336162383,1.94456710182808,1.94368178122448,1.96178226459988,1.94717933025533,1.94825718151274
"30",2.22293387304064,2.39707256164808,2.40475064679486,2.38862563274604,2.39417825693873,2.40171099948794
"31",2.25061428745178,2.25601540926828,2.25778258363799,2.25466109100446,2.25651198984225,2.25586443955497
"32",2.61676149415882,2.47255329076423,2.42249689835634,2.4224948882729,2.44164606976489,2.45972748388398
"33",2.03557411781201,2.06471350210463,2.04194112904502,2.07272217765528,2.06606712450177,2.04774778400453
"34",5.82163360017652,5.78765668909986,5.86514445897337,5.90111966606429,5.85870799541938,5.88205719635241
"35",6.56839138074366,6.53995179352676,6.5447714165463,6.5417827991408,6.53339810371448,6.54030582073271
"36",2.43787407259806,2.43390406435622,2.42240360982679,2.41126032103367,2.41006214383746,2.4152235151581
"37",3.09541284308194,3.01478513503139,3.00761604493371,3.04011111710884,3.04279742477993,3.00596646701934
