"True","Estim","ParamBoot","Boot","FactorParamBoot","FactorBoot"
"1",0.0035140101892393,0.00628053214596879,0.00648920284645685,0.00632855531925128,0.00588212574086796,0.00620940900865919
"2",-0.0744090679894076,-0.0746110300597184,-0.0746227107878131,-0.0736455356800966,-0.0743598530085822,-0.0730687219506752
"3",-0.0268975938408283,-0.0115106497980497,-0.0115837643283745,-0.0114926685674245,-0.0109497985573447,-0.0108512230289614
"4",-0.0144916034051046,-0.0132959281997458,-0.01313731847903,-0.0129709494013495,-0.0129492764614354,-0.0127404740932604
"5",-0.0922063241848904,-0.0916633904126371,-0.0913559509838292,-0.0916963741767896,-0.0915310729783817,-0.0918752509614875
"6",0.021775037845418,0.021775037845418,0.021775037845418,0.021775037845418,0.021775037845418,0.021775037845418
"7",-0.0399687409262365,-0.0399687409262365,-0.0399687409262365,-0.0399687409262365,-0.0399687409262365,-0.0399687409262365
"8",-0.0476504635457282,-0.0458141453006795,-0.0456252765637629,-0.0443881044263964,-0.044789461560869,-0.0456116755121694
"9",0.0150295134581956,0.0153283855579215,0.0153991018851381,0.0154146863015312,0.0153667879609988,0.0152524473879853
"10",0.0203520368965321,0.0279045175313842,0.0256688979971443,0.0282353843305051,0.0287446975377171,0.0272337911785896
"11",0.049537092183443,0.0522792958013013,0.0517014200190555,0.0512883602380659,0.0515765483383787,0.0516440965326363
"12",0.0085484353711587,0.00064131531149158,0.00059446587340995,-0.00243694162883726,-0.00117104127069184,-0.00187424380333153
"13",0.0863567049875108,0.0830257554916656,0.0850903306400034,0.0842265217472339,0.0839857202694155,0.0852168238010552
"14",-0.00259488036726227,-0.000822231632977907,-0.00318519160979583,-0.0030640718950558,-0.00273774651697754,-0.00327181481521789
"15",0.0171263510549781,0.0149953658780857,0.0162888043762453,0.0162291716650772,0.0158441006816245,0.016123130618558
"16",0.0339370090666248,0.0364005564142943,0.0356575386123468,0.0373009142621805,0.035548825039456,0.0362709688094988
"17",-0.0207102241060022,-0.0200552341818731,-0.0133889075781281,-0.0124539167610587,-0.013527482077791,-0.0135387008487211
"18",0.00412612957748209,0.00204489361584992,0.0019497284543093,0.00178754335141002,0.00244618733580844,0.00182643290804966
"19",-0.0574838491046605,-0.053374519184986,-0.0556338143751956,-0.055800786549868,-0.0559542936948924,-0.0547823267379187
